1135.2631145	792.1086922	65.6362391	17.0000000
1121.0520244	839.4410169	65.6518728	21.0000000
1096.3886150	813.3470480	65.6237374	21.0000000
1111.0814333	760.9017422	65.6112383	19.0000000
1161.1216728	741.3446853	65.6174857	20.0000000
1182.6008495	805.0242259	65.6643622	20.0000000
1158.9240208	832.6095166	65.6706342	24.0000000
1099.6515726	865.3196550	65.6549858	20.0000000
1068.7830315	832.0304573	65.6143632	21.0000000
1069.1066742	771.4104976	65.5893662	17.0000000
1078.8118345	752.7139105	65.5831168	25.0000000
1099.2648355	745.8574771	65.5987385	20.0000000
1213.3534123	754.1695200	65.6268652	20.0000000
1223.3300998	775.8950862	65.6331142	18.0000000
1198.6057913	803.2130161	65.6643642	20.0000000
1217.9893557	840.1639611	65.6737336	20.0000000
1178.2284057	872.4314433	65.6987399	18.0000000
1139.8482472	884.9218311	65.6862529	16.0000000
1150.9344713	787.5255671	65.6518651	18.0000000
