1148.2092383	816.1050186	62.8487501
1074.3090163	844.7699227	63.0612452
1067.0092886	791.6742684	62.9799992
1079.8311708	750.8803127	62.9924992
1110.0312740	751.9341521	62.9050008
1154.3596538	719.1772643	63.0237514
1204.1466712	749.2071659	62.9987497
1212.3183416	792.6101984	62.9550004
1200.5185939	846.0910138	63.0299942
1181.1488177	861.3099602	63.0237484
1158.5975813	882.2895274	63.0987518
1105.2144225	864.1891303	62.9862499
1110.4634435	802.3785646	62.8799999
1132.3284706	777.8241731	62.8612517
1158.6383461	772.3678158	62.8612504
1171.4822687	799.9394492	62.8737496
1154.9560463	812.9426024	62.8612500
1141.9136270	822.1832877	62.8550003
